id,products,total,discountedTotal,userId,totalProducts,totalQuantity
11,"[{'id': 115, 'title': 'MotoGP CI.H1', 'price': 14999.99, 'quantity': 4, 'total': 59999.96, 'discountPercentage': 6.92, 'discountedTotal': 55847.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp'}, {'id': 101, 'title': 'Apple AirPods Max Silver', 'price': 549.99, 'quantity': 2, 'total': 1099.98, 'discountPercentage': 13.67, 'discountedTotal': 949.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp'}, {'id': 55, 'title': 'Egg Slicer', 'price': 6.99, 'quantity': 4, 'total': 27.96, 'discountPercentage': 14.76, 'discountedTotal': 23.83, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp'}, {'id': 25, 'title': 'Green Bell Pepper', 'price': 1.29, 'quantity': 3, 'total': 3.87, 'discountPercentage': 0.16, 'discountedTotal': 3.86, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp'}, {'id': 161, 'title': 'Samsung Galaxy Tab White', 'price': 349.99, 'quantity': 2, 'total': 699.98, 'discountPercentage': 18.2, 'discountedTotal': 572.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp'}]",61831.75,57397.84,11,5,15
12,"[{'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 1, 'total': 7499.99, 'discountPercentage': 11.58, 'discountedTotal': 6631.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp'}, {'id': 28, 'title': 'Ice Cream', 'price': 5.49, 'quantity': 5, 'total': 27.450000000000003, 'discountPercentage': 8.69, 'discountedTotal': 25.06, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp'}, {'id': 98, 'title': 'Rolex Submariner Watch', 'price': 13999.99, 'quantity': 2, 'total': 27999.98, 'discountPercentage': 5.05, 'discountedTotal': 26585.98, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp'}, {'id': 8, 'title': ""Dior J'adore"", 'price': 89.99, 'quantity': 1, 'total': 89.99, 'discountPercentage': 14.72, 'discountedTotal': 76.74, 'thumbnail': ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp""}, {'id': 162, 'title': 'Blue Frock', 'price': 29.99, 'quantity': 5, 'total': 149.95, 'discountPercentage': 12.13, 'discountedTotal': 131.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp'}, {'id': 14, 'title': 'Knoll Saarinen Executive Conference Chair', 'price': 499.99, 'quantity': 4, 'total': 1999.96, 'discountPercentage': 2.01, 'discountedTotal': 1959.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp'}]",37767.32,35410.79,12,6,18
13,"[{'id': 35, 'title': 'Potatoes', 'price': 2.29, 'quantity': 2, 'total': 4.58, 'discountPercentage': 5.38, 'discountedTotal': 4.33, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp'}, {'id': 23, 'title': 'Eggs', 'price': 2.99, 'quantity': 4, 'total': 11.96, 'discountPercentage': 11.05, 'discountedTotal': 10.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp'}]",16.54,14.97,13,2,6
14,"[{'id': 44, 'title': 'Family Tree Photo Frame', 'price': 29.99, 'quantity': 4, 'total': 119.96, 'discountPercentage': 14.87, 'discountedTotal': 102.12, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp'}, {'id': 68, 'title': 'Pan', 'price': 24.99, 'quantity': 1, 'total': 24.99, 'discountPercentage': 3, 'discountedTotal': 24.24, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp'}, {'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 5, 'total': 64.95, 'discountPercentage': 10.34, 'discountedTotal': 58.23, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}]",209.9,184.59,14,3,10
15,"[{'id': 61, 'title': 'Hand Blender', 'price': 34.99, 'quantity': 2, 'total': 69.98, 'discountPercentage': 17.02, 'discountedTotal': 58.07, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp'}, {'id': 105, 'title': 'Apple MagSafe Battery Pack', 'price': 99.99, 'quantity': 1, 'total': 99.99, 'discountPercentage': 17.17, 'discountedTotal': 82.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp'}, {'id': 141, 'title': 'Basketball Rim', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 7.74, 'discountedTotal': 73.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp'}]",249.95,214.68,15,3,5
16,"[{'id': 20, 'title': 'Cooking Oil', 'price': 4.99, 'quantity': 5, 'total': 24.950000000000003, 'discountPercentage': 9.33, 'discountedTotal': 22.62, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp'}, {'id': 91, 'title': 'Sports Sneakers Off White & Red', 'price': 119.99, 'quantity': 3, 'total': 359.96999999999997, 'discountPercentage': 4.97, 'discountedTotal': 342.08, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp'}]",384.92,364.7,16,2,8
17,"[{'id': 123, 'title': 'iPhone 13 Pro', 'price': 1099.99, 'quantity': 5, 'total': 5499.95, 'discountPercentage': 9.37, 'discountedTotal': 4984.6, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp'}, {'id': 137, 'title': 'American Football', 'price': 19.99, 'quantity': 1, 'total': 19.99, 'discountPercentage': 4.93, 'discountedTotal': 19, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp'}, {'id': 25, 'title': 'Green Bell Pepper', 'price': 1.29, 'quantity': 5, 'total': 6.45, 'discountPercentage': 0.16, 'discountedTotal': 6.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp'}, {'id': 26, 'title': 'Green Chili Pepper', 'price': 0.99, 'quantity': 5, 'total': 4.95, 'discountPercentage': 1, 'discountedTotal': 4.9, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp'}]",5531.34,5014.94,17,4,16
18,"[{'id': 169, 'title': 'Dodge Hornet GT Plus', 'price': 24999.99, 'quantity': 5, 'total': 124999.95000000001, 'discountPercentage': 2.63, 'discountedTotal': 121712.45, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp'}, {'id': 193, 'title': 'Watch Gold for Women', 'price': 799.99, 'quantity': 5, 'total': 3999.95, 'discountPercentage': 18.34, 'discountedTotal': 3266.36, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp'}]",128999.9,124978.81,18,2,10
19,"[{'id': 22, 'title': 'Dog Food', 'price': 10.99, 'quantity': 3, 'total': 32.97, 'discountPercentage': 10.27, 'discountedTotal': 29.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp'}, {'id': 56, 'title': 'Electric Stove', 'price': 49.99, 'quantity': 1, 'total': 49.99, 'discountPercentage': 14.04, 'discountedTotal': 42.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp'}, {'id': 97, 'title': 'Rolex Datejust', 'price': 10999.99, 'quantity': 2, 'total': 21999.98, 'discountPercentage': 3.73, 'discountedTotal': 21179.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp'}, {'id': 71, 'title': 'Silver Pot With Glass Cap', 'price': 39.99, 'quantity': 1, 'total': 39.99, 'discountPercentage': 5.7, 'discountedTotal': 37.71, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp'}, {'id': 69, 'title': 'Plate', 'price': 3.99, 'quantity': 5, 'total': 19.950000000000003, 'discountPercentage': 7.31, 'discountedTotal': 18.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp'}]",22142.88,21308.13,19,5,12
20,"[{'id': 123, 'title': 'iPhone 13 Pro', 'price': 1099.99, 'quantity': 4, 'total': 4399.96, 'discountPercentage': 9.37, 'discountedTotal': 3987.68, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp'}, {'id': 36, 'title': 'Protein Powder', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 7.59, 'discountedTotal': 55.42, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp'}, {'id': 146, 'title': 'Feather Shuttlecock', 'price': 5.99, 'quantity': 2, 'total': 11.98, 'discountPercentage': 2.95, 'discountedTotal': 11.63, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp'}, {'id': 89, 'title': 'Nike Baseball Cleats', 'price': 79.99, 'quantity': 3, 'total': 239.96999999999997, 'discountPercentage': 18.04, 'discountedTotal': 196.68, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp'}]",4711.88,4251.41,20,4,12
21,"[{'id': 79, 'title': 'Asus Zenbook Pro Dual Screen Laptop', 'price': 1799.99, 'quantity': 1, 'total': 1799.99, 'discountPercentage': 11.14, 'discountedTotal': 1599.47, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp'}, {'id': 164, 'title': 'Gray Dress', 'price': 34.99, 'quantity': 4, 'total': 139.96, 'discountPercentage': 14.28, 'discountedTotal': 119.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp'}, {'id': 192, 'title': 'Rolex Datejust Women', 'price': 10999.99, 'quantity': 1, 'total': 10999.99, 'discountPercentage': 15.94, 'discountedTotal': 9246.59, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp'}]",12939.94,10966.03,21,3,6
22,"[{'id': 16, 'title': 'Apple', 'price': 1.99, 'quantity': 4, 'total': 7.96, 'discountPercentage': 12.62, 'discountedTotal': 6.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp'}, {'id': 92, 'title': 'Sports Sneakers Off White Red', 'price': 109.99, 'quantity': 2, 'total': 219.98, 'discountPercentage': 0.04, 'discountedTotal': 219.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp'}, {'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 12.95, 'discountedTotal': 69.62, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}]",307.92,296.47,22,3,8
23,"[{'id': 127, 'title': 'Oppo K1', 'price': 299.99, 'quantity': 5, 'total': 1499.95, 'discountPercentage': 18.29, 'discountedTotal': 1225.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp'}, {'id': 134, 'title': 'Vivo S1', 'price': 249.99, 'quantity': 4, 'total': 999.96, 'discountPercentage': 10.17, 'discountedTotal': 898.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp'}]",2499.91,2123.87,23,2,9
24,"[{'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 4, 'total': 29999.96, 'discountPercentage': 11.58, 'discountedTotal': 26525.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp'}, {'id': 128, 'title': 'Realme C35', 'price': 149.99, 'quantity': 2, 'total': 299.98, 'discountPercentage': 15.3, 'discountedTotal': 254.08, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp'}]",30299.94,26780.04,24,2,6
25,"[{'id': 32, 'title': 'Milk', 'price': 3.49, 'quantity': 2, 'total': 6.98, 'discountPercentage': 13.74, 'discountedTotal': 6.02, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp'}, {'id': 106, 'title': 'Apple Watch Series 4 Gold', 'price': 349.99, 'quantity': 3, 'total': 1049.97, 'discountPercentage': 12.02, 'discountedTotal': 923.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp'}, {'id': 35, 'title': 'Potatoes', 'price': 2.29, 'quantity': 5, 'total': 11.45, 'discountPercentage': 5.38, 'discountedTotal': 10.83, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp'}, {'id': 110, 'title': 'Selfie Lamp with iPhone', 'price': 14.99, 'quantity': 4, 'total': 59.96, 'discountPercentage': 19.4, 'discountedTotal': 48.33, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp'}, {'id': 103, 'title': 'Apple HomePod Mini Cosmic Grey', 'price': 99.99, 'quantity': 1, 'total': 99.99, 'discountPercentage': 18.1, 'discountedTotal': 81.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp'}]",1228.35,1070.83,25,5,15
26,"[{'id': 122, 'title': 'iPhone 6', 'price': 299.99, 'quantity': 3, 'total': 899.97, 'discountPercentage': 6.69, 'discountedTotal': 839.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp'}, {'id': 63, 'title': 'Kitchen Sieve', 'price': 7.99, 'quantity': 4, 'total': 31.96, 'discountPercentage': 18.91, 'discountedTotal': 25.92, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp'}, {'id': 108, 'title': 'iPhone 12 Silicone Case with MagSafe Plum', 'price': 29.99, 'quantity': 4, 'total': 119.96, 'discountPercentage': 13.85, 'discountedTotal': 103.35, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp'}, {'id': 153, 'title': 'Volleyball', 'price': 11.99, 'quantity': 5, 'total': 59.95, 'discountPercentage': 12.25, 'discountedTotal': 52.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp'}]",1111.84,1021.64,26,4,16
27,"[{'id': 192, 'title': 'Rolex Datejust Women', 'price': 10999.99, 'quantity': 4, 'total': 43999.96, 'discountPercentage': 15.94, 'discountedTotal': 36986.37, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp'}, {'id': 97, 'title': 'Rolex Datejust', 'price': 10999.99, 'quantity': 5, 'total': 54999.95, 'discountPercentage': 3.73, 'discountedTotal': 52948.45, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp'}, {'id': 20, 'title': 'Cooking Oil', 'price': 4.99, 'quantity': 3, 'total': 14.97, 'discountPercentage': 9.33, 'discountedTotal': 13.57, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp'}, {'id': 113, 'title': 'Generic Motorcycle', 'price': 3999.99, 'quantity': 3, 'total': 11999.97, 'discountPercentage': 12.1, 'discountedTotal': 10547.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp'}]",111014.85,100496.36,27,4,15
